FilePath,Classe
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_5.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/70025006_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038001_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/70025001_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038001_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/71012001_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_3.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/71012004_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038004_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038004_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/70025004_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038004_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_3.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018003_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_7.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_10.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038003_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_8.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/70025003_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_9.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038003_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_11.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_6.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018003_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018003_resampled_3.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_13.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_4.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038003_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/71012003_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Bearded_Seal_resampled_5.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_12.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018003_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_11.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038002_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_3.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/70025002_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038002_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_10.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_12.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/71012002_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038002_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_13.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_17.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038005_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018005_resampled_2.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/71012005_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_4.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_5.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018005_resampled_3.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_16.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038005_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_14.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/70025005_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018005_resampled_1.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_7.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_6.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/78018005_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/66038005_resampled_0.png,Bearded Seal
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_15.png,Bearded Seal
Spettrogrammi/Non-Target/Southern Right Whale/7900200W_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/Southern-Right-Whale-Upcall-1_resampled_1.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/Southern-Right-Whale-Upcall-1_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/8300200C_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/83002001_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200X_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/79002011_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/83002009_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/79002007_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/79002010_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200K_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200Q_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200V_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/8300200B_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200L_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200Y_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/79002012_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200S_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/79002004_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200T_resampled_1.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1_resampled_1.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/83002002_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall2_RW-1_resampled_3.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall2_RW-1_resampled_2.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200T_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1_resampled_2.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall2_RW-1_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall2_RW-1_resampled_1.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1_resampled_3.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/8300200A_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200U_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200Z_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/79002013_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/7900200R_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/Southern Right Whale/83002004_resampled_0.png,Southern Right Whale
Spettrogrammi/Non-Target/White-beaked Dolphin/59037016_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/72005007_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500E_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700B_resampled_2.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500P_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700M_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700B_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700B_resampled_1.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/72005008_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500M_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037007_resampled_1.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037007_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/70014014_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400Z_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037008_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700J_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500W_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037007_resampled_2.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037007_resampled_3.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037008_resampled_1.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700Q_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500L_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700K_resampled_2.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500Y_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037006_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500V_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7001300E_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400T_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700K_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700K_resampled_1.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/72005001_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500C_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500D_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700Y_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700L_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7001300B_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037001_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500K_resampled_1.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500K_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400Y_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/70006003_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700F_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700S_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500N_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037012_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400V_resampled_1.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/72005003_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7001300G_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400V_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700N_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400Q_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500F_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/72005004_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/70006004_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/70014010_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/Laal-multisound-NOAA-PAGroup-01-white-beaked-dolphin-clip_resampled_2.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037014_resampled_1.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037014_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/Laal-multisound-NOAA-PAGroup-01-white-beaked-dolphin-clip_resampled_3.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/72005005_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500G_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/Laal-multisound-NOAA-PAGroup-01-white-beaked-dolphin-clip_resampled_1.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500H_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/70005002_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/Laal-multisound-NOAA-PAGroup-01-white-beaked-dolphin-clip_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/70014011_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037005_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700G_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400X_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/Laal-multisound-NOAA-PAGroup-01-white-beaked-dolphin-clip_resampled_4.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500Z_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037013_resampled_2.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700G_resampled_1.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037013_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/59037013_resampled_1.png,White-beaked Dolphin
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500U_resampled_0.png,White-beaked Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/83006002_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300602Q_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604G_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604R_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8303503P_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300602Q_resampled_1.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300601F_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604H_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604O_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/83035002_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300602C_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300602M_resampled_1.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604T_resampled_3.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/83035003_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604N_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604T_resampled_2.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604S_resampled_6.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300602M_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604S_resampled_4.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604T_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300602B_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8303500N_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300600F_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604T_resampled_1.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604S_resampled_5.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604A_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604F_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604T_resampled_5.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604S_resampled_1.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/83006003_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300600A_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8303503Q_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300602E_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604S_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604T_resampled_4.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300601G_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300603C_resampled_1.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604T_resampled_6.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604S_resampled_2.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604I_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604S_resampled_3.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/83006031_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604T_resampled_7.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300603C_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300601R_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300600N_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300603S_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/83006009_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/83035001_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8303503N_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604L_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300600D_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604C_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/83006022_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604T_resampled_8.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8303503S_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8303501W_resampled_1.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300601J_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604Q_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604D_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/83006001_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300600C_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8303501W_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604K_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/83035006_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300604P_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8303503R_resampled_0.png,Clymene Dolphin
Spettrogrammi/Non-Target/Clymene Dolphin/8300601K_resampled_0.png,Clymene Dolphin
