FilePath,Classe,File,Set
Spettrogrammi/Non-Target/Bearded Seal/66038004_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038004,train
Spettrogrammi/Non-Target/Bearded Seal/70025004_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/70025004,train
Spettrogrammi/Non-Target/Bearded Seal/66038004_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038004,train
Spettrogrammi/Non-Target/Bearded Seal/78018003_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018003,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_10.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/66038003_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038003,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_8.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_9.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/66038003_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038003,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_11.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/78018003_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018003,train
Spettrogrammi/Non-Target/Bearded Seal/78018003_resampled_3.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018003,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_13.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/66038003_resampled_2.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038003,train
Spettrogrammi/Non-Target/Bearded Seal/71012003_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/71012003,train
Spettrogrammi/Non-Target/Bearded Seal/78018001_resampled_12.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018001,train
Spettrogrammi/Non-Target/Bearded Seal/78018003_resampled_2.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018003,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_11.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/66038002_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038002,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_2.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_3.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/70025002_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/70025002,train
Spettrogrammi/Non-Target/Bearded Seal/66038002_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038002,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_10.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_12.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/71012002_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/71012002,train
Spettrogrammi/Non-Target/Bearded Seal/66038002_resampled_2.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038002,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_13.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_17.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/66038005_resampled_2.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038005,train
Spettrogrammi/Non-Target/Bearded Seal/78018005_resampled_2.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018005,train
Spettrogrammi/Non-Target/Bearded Seal/71012005_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/71012005,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_4.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_5.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/78018005_resampled_3.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018005,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_16.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/66038005_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038005,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_14.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/70025005_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/70025005,train
Spettrogrammi/Non-Target/Bearded Seal/78018005_resampled_1.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018005,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_7.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_6.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Bearded Seal/78018005_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/78018005,train
Spettrogrammi/Non-Target/Bearded Seal/66038005_resampled_0.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/66038005,train
Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip_resampled_15.png,Bearded Seal,Spettrogrammi/Non-Target/Bearded Seal/Erba-Multisound-Cornell-OrnithologyLab-01-bearded-seal-clip,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200W_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200W,train
Spettrogrammi/Non-Target/Southern Right Whale/Southern-Right-Whale-Upcall-1_resampled_1.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/Southern-Right-Whale-Upcall-1,train
Spettrogrammi/Non-Target/Southern Right Whale/Southern-Right-Whale-Upcall-1_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/Southern-Right-Whale-Upcall-1,train
Spettrogrammi/Non-Target/Southern Right Whale/83002001_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/83002001,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200X_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200X,train
Spettrogrammi/Non-Target/Southern Right Whale/79002011_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/79002011,train
Spettrogrammi/Non-Target/Southern Right Whale/79002007_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/79002007,train
Spettrogrammi/Non-Target/Southern Right Whale/79002010_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/79002010,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200K_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200K,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200Q_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200Q,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200V_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200V,train
Spettrogrammi/Non-Target/Southern Right Whale/8300200B_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/8300200B,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200L_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200L,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200Y_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200Y,train
Spettrogrammi/Non-Target/Southern Right Whale/79002012_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/79002012,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200T_resampled_1.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200T,train
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1_resampled_1.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1,train
Spettrogrammi/Non-Target/Southern Right Whale/83002002_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/83002002,train
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200T_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200T,train
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1_resampled_2.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1,train
Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1_resampled_3.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/PtAnn_2014_21Aug_213000_TonalCall_RW-1,train
Spettrogrammi/Non-Target/Southern Right Whale/8300200A_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/8300200A,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200U_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200U,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200Z_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200Z,train
Spettrogrammi/Non-Target/Southern Right Whale/7900200R_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/7900200R,train
Spettrogrammi/Non-Target/Southern Right Whale/83002004_resampled_0.png,Southern Right Whale,Spettrogrammi/Non-Target/Southern Right Whale/83002004,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037016_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037016,train
Spettrogrammi/Non-Target/White-beaked Dolphin/72005007_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/72005007,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500E_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500E,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700B_resampled_2.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700B,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500P_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500P,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700M_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700M,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700B_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700B,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700B_resampled_1.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700B,train
Spettrogrammi/Non-Target/White-beaked Dolphin/72005008_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/72005008,train
Spettrogrammi/Non-Target/White-beaked Dolphin/70014014_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/70014014,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400Z_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7001400Z,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037008_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037008,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700J_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700J,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037008_resampled_1.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037008,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500L_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500L,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700K_resampled_2.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700K,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500Y_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500Y,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037006_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037006,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7001300E_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7001300E,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400T_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7001400T,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700K_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700K,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700K_resampled_1.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700K,train
Spettrogrammi/Non-Target/White-beaked Dolphin/72005001_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/72005001,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500D_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500D,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700Y_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700Y,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700L_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700L,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7001300B_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7001300B,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500K_resampled_1.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500K,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500K_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500K,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400Y_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7001400Y,train
Spettrogrammi/Non-Target/White-beaked Dolphin/70006003_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/70006003,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700F_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700F,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700S_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700S,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500N_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500N,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037012_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037012,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400V_resampled_1.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7001400V,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400V_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7001400V,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700N_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700N,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400Q_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7001400Q,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500F_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500F,train
Spettrogrammi/Non-Target/White-beaked Dolphin/72005004_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/72005004,train
Spettrogrammi/Non-Target/White-beaked Dolphin/70006004_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/70006004,train
Spettrogrammi/Non-Target/White-beaked Dolphin/70014010_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/70014010,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037014_resampled_1.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037014,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037014_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037014,train
Spettrogrammi/Non-Target/White-beaked Dolphin/72005005_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/72005005,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500H_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500H,train
Spettrogrammi/Non-Target/White-beaked Dolphin/70005002_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/70005002,train
Spettrogrammi/Non-Target/White-beaked Dolphin/70014011_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/70014011,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037005_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037005,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700G_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700G,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7001400X_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7001400X,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037013_resampled_2.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037013,train
Spettrogrammi/Non-Target/White-beaked Dolphin/5903700G_resampled_1.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/5903700G,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037013_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037013,train
Spettrogrammi/Non-Target/White-beaked Dolphin/59037013_resampled_1.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/59037013,train
Spettrogrammi/Non-Target/White-beaked Dolphin/7200500U_resampled_0.png,White-beaked Dolphin,Spettrogrammi/Non-Target/White-beaked Dolphin/7200500U,train
Spettrogrammi/Non-Target/Clymene Dolphin/83006002_resampled_0.png,Clymene Dolphin,Spettrogrammi/Non-Target/Clymene Dolphin/83006002,train
Spettrogrammi/Non-Target/Clymene Dolphin/8300602Q_resampled_0.png,Clymene Dolphin,Spettrogrammi/Non-Target/Clymene Dolphin/8300602Q,train
Spettrogrammi/Non-Target/Clymene Dolphin/8300604G_resampled_0.png,Clymene Dolphin,Spettrogrammi/Non-Target/Clymene Dolphin/8300604G,train
Spettrogrammi/Non-Target/Clymene Dolphin/8300604R_resampled_0.png,Clymene Dolphin,Spettrogrammi/Non-Target/Clymene Dolphin/8300604R,train
